id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,62,320.0,0.28,0.28,0.028000000000000004
1,38,326.0,0.79,0.79,0.07900000000000001
2,50,294.5,0.52,0.52,0.052000000000000005
3,61,301.0,0.55,0.55,0.05500000000000001
4,25,283.0,0.51,0.51,0.051000000000000004
5,98,390.5,0.35,0.35,0.034999999999999996
6,79,367.0,0.48,0.48,0.048
7,66,336.0,0.88,0.88,0.08800000000000001
8,20,351.5,0.76,0.76,0.07600000000000001
9,96,399.0,0.17,0.17,0.017
10,55,302.5,0.32,0.32,0.032
11,4,295.0,0.92,0.92,0.09200000000000001
12,64,344.5,0.88,0.88,0.08800000000000001
13,74,381.5,0.76,0.76,0.07600000000000001
14,67,334.0,0.4,0.4,0.04000000000000001
15,16,293.5,0.99,0.99,0.099
16,73,379.0,0.62,0.62,0.062
17,39,370.5,0.52,0.52,0.052000000000000005
18,47,338.0,0.57,0.57,0.056999999999999995
19,72,351.0,0.82,0.82,0.082
