id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,59,347.0,0.94,0.94,0.094
1,54,297.0,0.57,0.57,0.056999999999999995
2,78,429.0,0.44,0.44,0.044000000000000004
3,92,345.5,0.21,0.21,0.021
4,10,277.0,0.42,0.42,0.042
5,6,346.5,0.58,0.58,0.057999999999999996
6,4,310.0,0.51,0.51,0.051000000000000004
7,59,345.5,0.94,0.94,0.094
8,61,386.5,0.46,0.46,0.046000000000000006
9,5,294.5,0.74,0.74,0.074
10,78,381.0,0.38,0.38,0.038000000000000006
11,75,399.0,0.46,0.46,0.046000000000000006
12,47,356.0,0.52,0.52,0.052000000000000005
13,57,361.5,0.33,0.33,0.033
14,56,305.0,0.35,0.35,0.034999999999999996
15,92,392.0,0.23,0.23,0.023000000000000003
16,91,355.0,0.66,0.66,0.066
17,4,307.0,0.87,0.87,0.08700000000000001
18,94,397.0,0.37,0.37,0.037
19,59,408.5,0.14,0.14,0.014000000000000002
