id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,57,310.5,0.59,0.59,0.059
1,55,318.90000000000003,0.32,0.32,0.032
2,81,352.7,0.6,0.6,0.06
3,29,303.3,0.81,0.81,0.08100000000000002
4,87,348.3,0.36,0.36,0.036
5,3,264.3,0.76,0.76,0.07600000000000001
6,75,371.40000000000003,0.28,0.28,0.028000000000000004
7,76,276.20000000000005,0.7,0.7,0.06999999999999999
8,57,304.0,0.88,0.88,0.08800000000000001
9,53,281.8,0.74,0.74,0.074
10,89,320.4,0.25,0.25,0.025
11,33,242.3,0.54,0.54,0.054000000000000006
12,14,283.1,0.72,0.72,0.072
13,9,239.1,0.51,0.51,0.051000000000000004
14,77,312.3,0.47,0.47,0.047
15,93,320.5,0.47,0.47,0.047
16,77,331.8,0.28,0.28,0.028000000000000004
17,36,322.0,0.65,0.65,0.065
18,29,313.7,0.99,0.99,0.099
19,11,247.6,0.61,0.61,0.061
20,45,334.90000000000003,0.45,0.45,0.045000000000000005
21,55,305.9,0.45,0.45,0.045000000000000005
22,49,314.2,0.76,0.76,0.07600000000000001
23,98,332.0,0.39,0.39,0.03900000000000001
24,49,281.70000000000005,0.28,0.28,0.028000000000000004
25,20,269.6,0.49,0.49,0.049
26,97,342.70000000000005,0.83,0.83,0.083
27,15,320.5,0.53,0.53,0.053000000000000005
28,5,232.5,0.85,0.85,0.085
29,72,320.3,0.14,0.14,0.014000000000000002
30,87,357.40000000000003,0.94,0.94,0.094
31,33,254.0,0.58,0.58,0.057999999999999996
32,33,311.2,0.83,0.83,0.083
33,35,280.70000000000005,0.61,0.61,0.061
34,93,289.3,0.36,0.36,0.036
35,62,310.3,0.11,0.11,0.011000000000000001
36,26,280.8,0.63,0.63,0.063
37,82,319.9,0.5,0.5,0.05
38,30,261.4,0.78,0.78,0.07800000000000001
39,25,322.7,0.29,0.29,0.028999999999999998
40,50,304.8,0.36,0.36,0.036
41,77,366.90000000000003,0.69,0.69,0.06899999999999999
42,64,308.4,1.0,1.0,0.1
43,49,292.1,0.8,0.8,0.08000000000000002
44,56,312.1,0.14,0.14,0.014000000000000002
45,18,275.40000000000003,0.37,0.37,0.037
46,33,290.40000000000003,0.4,0.4,0.04000000000000001
47,34,253.70000000000002,0.53,0.53,0.053000000000000005
48,83,309.20000000000005,0.69,0.69,0.06899999999999999
49,40,316.90000000000003,0.94,0.94,0.094
