id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,67,338.7,0.8,0.8,0.08000000000000002
1,81,376.1,0.52,0.52,0.052000000000000005
2,54,304.9,0.87,0.87,0.08700000000000001
3,94,333.20000000000005,0.73,0.73,0.073
4,99,342.1,0.7,0.7,0.06999999999999999
5,50,330.8,0.88,0.88,0.08800000000000001
6,22,271.6,0.37,0.37,0.037
7,40,276.6,0.88,0.88,0.08800000000000001
8,95,357.6,0.4,0.4,0.04000000000000001
9,26,278.20000000000005,0.34,0.34,0.034
10,70,326.1,0.88,0.88,0.08800000000000001
11,20,269.6,0.92,0.92,0.09200000000000001
12,17,282.2,0.9,0.9,0.09000000000000001
13,88,371.40000000000003,0.68,0.68,0.068
14,45,303.7,0.73,0.73,0.073
15,34,273.20000000000005,0.33,0.33,0.033
16,61,270.3,0.73,0.73,0.073
17,76,337.3,0.44,0.44,0.044000000000000004
18,91,335.4,0.59,0.59,0.059
19,94,334.5,0.91,0.91,0.09100000000000001
20,42,305.90000000000003,0.97,0.97,0.097
21,35,324.90000000000003,0.52,0.52,0.052000000000000005
22,1,220.70000000000002,0.23,0.23,0.023000000000000003
23,41,320.5,0.64,0.64,0.064
24,92,326.0,0.34,0.34,0.034
25,1,250.60000000000002,0.34,0.34,0.034
26,10,238.8,0.32,0.32,0.032
27,5,239.0,0.71,0.71,0.071
28,23,298.6,0.46,0.46,0.046000000000000006
29,33,268.3,0.2,0.13,0.020000000000000004
30,69,331.6,0.8,0.8,0.08000000000000002
31,41,289.3,0.86,0.86,0.08600000000000001
32,17,239.3,0.66,0.66,0.066
33,52,338.0,0.42,0.42,0.042
34,24,247.6,0.57,0.57,0.056999999999999995
35,10,257.0,0.94,0.94,0.094
36,13,226.20000000000002,0.45,0.45,0.045000000000000005
37,14,253.20000000000002,0.64,0.64,0.064
38,67,307.5,0.2,0.17,0.020000000000000004
39,13,260.0,0.33,0.33,0.033
40,97,345.3,0.23,0.16,0.023000000000000003
41,3,277.3,0.56,0.56,0.05600000000000001
42,76,359.40000000000003,0.16,0.16,0.016
43,0,267.8,0.43,0.43,0.043000000000000003
44,3,279.90000000000003,0.22,0.22,0.022000000000000002
45,94,364.40000000000003,0.18,0.18,0.018
46,9,236.5,0.97,0.97,0.097
47,24,284.0,0.98,0.98,0.098
48,83,328.70000000000005,0.18,0.11,0.018
49,29,285.1,0.91,0.91,0.09100000000000001
