machine,id_job0,id_job1,time
0,0,0,10
0,0,1,5
0,0,3,10
0,1,0,10
0,1,1,10
0,2,1,10
0,3,0,5
0,3,1,30
0,3,4,5
0,4,0,10
0,4,1,10
1,0,1,5
1,0,2,5
1,0,3,5
1,0,4,5
1,1,0,10
1,1,2,10
1,2,1,10
1,2,4,5
1,3,0,5
1,3,3,5
1,3,4,5
1,4,1,5
1,4,3,10
2,0,2,5
2,1,0,5
2,1,2,10
2,1,4,5
2,2,1,10
2,2,2,5
2,2,4,5
2,4,1,10
2,4,4,30
3,0,2,5
3,2,0,5
3,2,2,5
3,2,4,10
4,0,0,5
4,0,2,5
4,1,1,10
4,2,0,5
4,2,1,5
4,2,2,5
4,3,0,10
4,3,1,10
4,3,2,5
4,3,3,10
4,4,1,5
4,4,3,10
4,4,4,5
5,0,0,5
5,0,4,5
5,1,4,5
5,2,1,5
5,2,4,5
5,3,2,5
5,4,0,10
5,4,1,10
5,4,2,5
5,4,4,5
6,0,0,5
6,0,4,5
6,2,0,5
6,2,2,5
6,2,4,5
6,3,2,10
6,3,3,5
6,4,2,10
6,4,3,5
7,0,0,5
7,0,1,10
7,0,3,10
7,1,0,10
7,1,1,10
7,1,2,10
7,2,0,10
7,2,1,5
7,2,2,5
7,2,3,5
7,3,1,10
7,3,2,5
8,0,0,5
8,0,2,5
8,0,4,5
8,2,0,5
8,2,2,5
8,3,4,5
8,4,3,5
9,0,0,10
9,0,3,30
9,3,4,5
