machine,id_job0,id_job1,time
0,0,3,10
0,1,0,30
0,1,2,10
0,1,3,5
0,1,4,5
0,2,0,30
0,2,1,10
0,2,2,10
0,2,4,5
0,3,0,5
0,3,4,5
0,4,2,5
0,4,3,5
1,0,0,5
1,0,1,5
1,0,2,5
1,0,4,5
1,1,0,5
1,1,4,5
1,4,0,5
1,4,1,10
1,4,2,5
2,0,0,5
2,0,2,10
2,0,4,5
2,1,1,5
2,1,2,5
2,1,4,10
2,2,0,5
2,2,2,5
2,2,4,5
2,4,0,5
2,4,4,5
3,0,2,5
3,1,0,5
3,1,1,5
3,1,2,10
3,2,1,10
3,2,3,30
3,2,4,5
3,3,0,30
3,3,2,5
3,3,4,5
3,4,0,10
3,4,2,5
4,0,0,10
4,0,1,5
4,0,3,5
4,1,4,5
4,2,3,10
4,3,0,10
4,3,4,5
4,4,1,5
4,4,2,10
4,4,3,5
4,4,4,10
5,0,1,10
5,0,3,5
5,0,4,30
5,1,3,10
5,2,0,5
5,2,1,10
5,3,1,5
5,4,0,5
5,4,2,10
5,4,3,10
5,4,4,5
6,1,0,5
6,1,3,5
6,1,4,10
6,2,0,10
6,2,1,5
6,2,2,10
6,3,0,5
6,3,2,5
6,4,2,5
7,0,2,5
7,1,0,5
7,1,1,10
7,1,2,30
7,1,3,30
7,2,2,5
7,2,3,10
7,2,4,5
7,3,0,5
7,3,1,10
7,3,2,30
7,3,3,30
7,3,4,5
7,4,2,10
7,4,3,10
7,4,4,5
8,1,1,30
8,2,0,10
8,2,2,10
8,3,0,5
8,3,1,10
8,3,2,5
9,0,0,10
9,0,1,5
9,0,2,5
9,0,3,10
9,0,4,30
9,1,0,5
9,1,1,10
9,1,2,5
9,1,3,5
9,2,1,5
9,2,3,5
9,3,0,5
9,3,1,5
9,3,2,10
9,3,3,5
9,4,0,10
9,4,3,10
