id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,24,333.0,0.99,0.99,0.099
1,2,326.0,0.99,0.99,0.099
2,29,345.5,0.57,0.57,0.056999999999999995
3,67,389.5,0.41,0.41,0.041
4,38,341.0,0.73,0.73,0.073
5,61,320.5,0.62,0.62,0.062
6,77,321.5,0.23,0.23,0.023000000000000003
7,2,309.5,0.59,0.59,0.059
8,58,422.5,0.72,0.72,0.072
9,86,327.5,0.82,0.82,0.082
10,50,323.0,0.11,0.11,0.011000000000000001
11,48,361.5,0.79,0.79,0.07900000000000001
12,100,413.5,0.36,0.36,0.036
13,68,387.5,0.92,0.92,0.09200000000000001
14,18,295.5,0.94,0.94,0.094
15,79,389.5,0.28,0.28,0.028000000000000004
16,27,279.0,0.98,0.98,0.098
17,77,392.0,0.92,0.92,0.09200000000000001
18,63,349.5,0.41,0.41,0.041
19,53,318.5,0.41,0.41,0.041
