machine,id_job0,id_job1,time
0,0,3,5
0,0,5,5
0,0,8,30
0,0,13,10
0,0,17,10
0,0,19,5
0,1,0,5
0,1,2,10
0,1,5,30
0,1,7,5
0,1,8,5
0,1,11,5
0,1,13,5
0,1,14,5
0,1,15,5
0,1,16,10
0,1,17,5
0,1,18,10
0,2,1,5
0,2,3,30
0,2,4,5
0,2,5,10
0,2,6,5
0,2,9,5
0,2,11,5
0,2,13,30
0,2,15,10
0,2,16,10
0,2,17,5
0,2,18,10
0,3,0,5
0,3,2,5
0,3,4,10
0,3,7,5
0,3,9,5
0,3,12,5
0,3,14,5
0,3,15,10
0,3,16,5
0,4,4,10
0,4,7,5
0,4,9,5
0,4,12,5
0,4,14,5
0,4,16,30
0,5,2,5
0,5,3,10
0,5,4,5
0,5,6,10
0,5,8,5
0,5,9,5
0,5,12,5
0,5,13,5
0,5,14,30
0,5,18,5
0,5,19,5
0,6,0,10
0,6,3,10
0,6,5,10
0,6,8,5
0,6,9,5
0,6,11,5
0,6,13,5
0,6,14,10
0,6,15,5
0,6,16,5
0,6,17,30
0,7,1,5
0,7,2,5
0,7,3,5
0,7,5,10
0,7,7,5
0,7,11,5
0,7,12,10
0,7,18,5
0,7,19,5
0,8,0,5
0,8,1,5
0,8,2,10
0,8,4,5
0,8,8,10
0,8,9,10
0,8,12,5
0,8,13,10
0,8,14,5
0,8,19,10
0,9,1,5
0,9,3,5
0,9,4,5
0,9,8,5
0,9,9,5
0,9,12,5
0,9,13,5
0,9,14,5
0,11,0,10
0,11,1,10
0,11,2,5
0,11,5,5
0,11,7,30
0,11,8,5
0,11,12,5
0,11,13,10
0,11,15,10
0,11,16,5
0,11,17,5
0,11,18,5
0,11,19,10
0,12,2,5
0,12,13,5
0,12,15,5
0,12,18,5
0,12,19,5
0,13,2,5
0,13,3,30
0,13,5,5
0,13,7,10
0,13,8,5
0,13,11,10
0,13,14,10
0,13,15,10
0,13,18,30
0,13,19,5
0,14,1,10
0,14,2,10
0,14,3,5
0,14,4,5
0,14,5,10
0,14,12,5
0,14,14,5
0,14,16,10
0,14,17,5
0,15,1,5
0,15,2,10
0,15,3,5
0,15,5,10
0,15,6,5
0,15,11,10
0,15,14,5
0,15,15,5
0,15,17,5
0,16,1,5
0,16,2,10
0,16,3,10
0,16,4,10
0,16,5,5
0,16,6,5
0,16,7,10
0,16,9,5
0,16,11,5
0,16,12,10
0,16,13,5
0,16,14,5
0,16,17,5
0,16,19,10
0,17,7,10
0,17,12,5
0,17,18,5
0,17,19,10
0,18,2,5
0,18,5,10
0,18,7,10
0,18,8,5
0,18,14,5
0,18,18,5
0,19,0,5
0,19,4,5
0,19,5,10
0,19,6,10
0,19,8,10
0,19,9,5
0,19,11,5
0,19,12,10
0,19,14,10
0,19,15,10
0,19,17,5
0,19,18,10
0,19,19,10
1,0,0,5
1,0,1,30
1,0,2,5
1,0,3,5
1,0,4,5
1,0,6,5
1,0,7,10
1,0,8,5
1,0,9,5
1,0,11,5
1,0,12,30
1,0,13,5
1,1,1,10
1,1,3,30
1,1,5,10
1,1,6,10
1,1,8,5
1,1,9,5
1,1,11,30
1,1,15,10
1,1,18,5
1,2,2,10
1,2,6,5
1,2,7,5
1,2,12,10
1,2,13,5
1,2,14,10
1,2,18,10
1,3,0,5
1,3,3,5
1,3,4,30
1,3,5,30
1,3,8,10
1,3,10,10
1,3,11,10
1,3,12,30
1,3,15,5
1,3,17,5
1,3,18,30
1,4,0,10
1,4,1,10
1,4,4,10
1,4,6,5
1,4,7,5
1,4,8,5
1,4,11,5
1,4,17,10
1,5,0,5
1,5,1,5
1,5,3,5
1,5,5,5
1,5,7,5
1,5,9,10
1,5,10,5
1,5,11,10
1,5,12,5
1,5,13,10
1,5,16,5
1,6,4,10
1,6,5,5
1,6,6,10
1,6,7,5
1,6,8,5
1,6,9,5
1,6,14,5
1,6,17,5
1,7,2,5
1,7,3,10
1,7,4,5
1,7,6,10
1,7,7,30
1,7,8,5
1,7,9,5
1,7,10,10
1,7,12,10
1,7,13,10
1,7,14,10
1,7,15,10
1,7,17,5
1,7,18,5
1,8,3,5
1,8,6,5
1,8,7,10
1,8,9,5
1,8,10,30
1,8,11,5
1,8,12,10
1,8,14,5
1,8,15,5
1,8,17,5
1,9,2,5
1,9,5,10
1,9,6,5
1,9,9,5
1,9,14,5
1,9,17,5
1,9,18,5
1,10,1,5
1,10,3,10
1,10,5,10
1,10,7,5
1,10,11,5
1,10,14,10
1,10,15,10
1,10,16,10
1,11,4,5
1,11,5,5
1,11,7,5
1,11,8,5
1,11,9,5
1,11,11,10
1,11,15,10
1,11,16,5
1,12,0,10
1,12,2,5
1,12,5,10
1,12,8,5
1,12,11,5
1,12,12,5
1,13,3,5
1,13,4,10
1,13,5,10
1,13,8,5
1,13,12,5
1,13,15,5
1,13,17,5
1,13,18,5
1,14,0,30
1,14,8,30
1,14,9,5
1,14,10,5
1,14,14,10
1,14,15,5
1,14,17,30
1,14,18,5
1,15,1,5
1,15,2,5
1,15,6,5
1,15,7,5
1,15,8,5
1,15,9,10
1,15,17,5
1,16,0,10
1,16,2,10
1,16,4,5
1,16,7,10
1,16,8,10
1,16,9,30
1,16,10,30
1,16,12,5
1,16,13,10
1,16,16,5
1,16,18,10
1,17,1,10
1,17,2,5
1,17,5,10
1,17,9,5
1,17,11,5
1,17,13,5
1,17,14,30
1,17,16,10
1,17,17,5
1,17,18,5
1,18,0,10
1,18,3,5
1,18,5,10
1,18,8,5
1,18,10,5
1,18,12,30
1,18,13,5
2,0,1,10
2,0,8,10
2,0,9,5
2,0,13,10
2,0,14,5
2,0,19,5
2,1,3,10
2,1,4,5
2,1,6,10
2,1,9,5
2,1,13,5
2,1,14,10
2,1,18,10
2,1,19,5
2,2,0,30
2,2,1,10
2,2,4,30
2,2,6,5
2,2,8,10
2,2,9,5
2,2,11,5
2,2,13,30
2,2,14,5
2,2,15,5
2,2,16,10
2,2,17,10
2,2,18,10
2,2,19,10
