id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,18,271.5,0.16,0.16,0.016
1,1,246.70000000000002,0.59,0.59,0.059
2,34,270.6,0.68,0.68,0.068
3,73,343.40000000000003,0.4,0.4,0.04000000000000001
4,3,238.3,0.95,0.95,0.095
5,45,301.1,0.81,0.81,0.08100000000000002
6,47,316.1,0.17,0.17,0.017
7,79,353.3,0.72,0.72,0.072
8,42,330.6,0.38,0.38,0.038000000000000006
9,20,290.40000000000003,0.73,0.73,0.073
10,2,256.8,0.6,0.6,0.06
11,1,287.0,0.58,0.58,0.057999999999999996
12,40,316.90000000000003,0.62,0.62,0.062
13,27,236.3,1.0,1.0,0.1
14,5,196.1,0.79,0.79,0.07900000000000001
15,16,273.40000000000003,0.74,0.74,0.074
16,5,248.1,0.21,0.21,0.021
17,81,364.40000000000003,0.71,0.71,0.071
18,18,288.40000000000003,0.52,0.52,0.052000000000000005
19,83,318.3,0.37,0.37,0.037
