id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,86,389.0,0.32,0.32,0.032
1,82,386.5,0.53,0.53,0.053000000000000005
2,40,317.5,0.87,0.87,0.08700000000000001
3,39,357.0,0.54,0.54,0.054000000000000006
4,3,331.5,0.62,0.62,0.062
5,85,391.0,0.47,0.47,0.047
6,32,341.0,0.44,0.44,0.044000000000000004
7,73,346.0,0.31,0.31,0.031
8,48,292.5,0.25,0.16,0.025
9,63,397.5,0.32,0.32,0.032
10,37,304.0,0.94,0.94,0.094
11,82,334.0,0.41,0.41,0.041
12,46,335.5,0.68,0.68,0.068
13,22,320.5,0.28,0.28,0.028000000000000004
14,5,326.0,0.4,0.4,0.04000000000000001
15,63,394.5,0.21,0.21,0.021
16,95,386.0,0.61,0.61,0.061
17,89,401.0,0.35,0.35,0.034999999999999996
18,21,276.0,0.67,0.67,0.067
19,58,328.0,0.46,0.46,0.046000000000000006
