machine,id_job0,id_job1,time
0,0,1,10
0,0,3,10
0,0,7,5
0,0,8,5
0,0,13,5
0,0,14,5
0,0,15,10
0,0,17,5
0,0,18,5
0,0,19,5
0,1,1,5
0,1,2,5
0,1,3,10
0,1,4,30
0,1,5,10
0,1,9,5
0,1,11,5
0,1,12,5
0,1,14,30
0,1,15,10
0,1,18,10
0,1,19,10
0,2,4,30
0,2,5,30
0,2,9,5
0,2,11,5
0,2,14,5
0,2,15,10
0,3,0,5
0,3,1,5
0,3,2,5
0,3,3,10
0,3,4,5
0,3,11,30
0,3,15,10
0,3,18,10
0,3,19,5
0,4,0,10
0,4,1,30
0,4,2,10
0,4,3,5
0,4,5,5
0,4,7,10
0,4,8,30
0,4,9,10
0,4,14,5
0,4,15,5
0,4,19,5
0,5,7,10
0,5,9,5
0,5,12,5
0,5,13,10
0,5,14,5
0,5,17,10
0,5,19,10
0,7,3,5
0,7,4,5
0,7,5,10
0,7,7,5
0,7,8,5
0,7,9,10
0,7,12,5
0,7,14,5
0,7,17,10
0,7,18,10
0,8,3,5
0,8,8,30
0,8,11,5
0,8,12,5
0,8,13,30
0,8,14,5
0,8,15,5
0,8,17,5
0,8,19,5
0,9,2,10
0,9,3,10
0,9,4,5
0,9,7,10
0,9,14,5
0,9,15,5
0,9,19,10
0,11,7,5
0,11,9,5
0,11,11,10
0,11,13,10
0,11,14,5
0,11,17,10
0,11,19,5
0,12,0,10
0,12,1,5
0,12,3,5
0,12,4,5
0,12,8,5
0,12,9,5
0,12,12,10
0,12,13,10
0,12,14,30
0,12,15,5
0,12,17,5
0,13,1,5
0,13,2,5
0,13,3,5
0,13,4,5
0,13,5,5
0,13,7,5
0,13,9,10
0,13,17,10
0,13,18,10
0,13,19,5
0,14,0,10
0,14,3,10
0,14,4,5
0,14,7,5
0,14,8,10
0,14,9,30
0,14,11,5
0,14,12,5
0,14,13,5
0,14,15,5
0,14,17,5
0,14,18,10
0,15,1,10
0,15,5,5
0,15,7,10
0,15,8,5
0,15,11,5
0,15,12,10
0,15,13,10
0,15,14,5
0,15,15,5
0,15,17,5
0,15,18,5
0,15,19,10
0,17,5,10
0,17,8,10
0,17,11,5
0,17,12,10
0,17,14,10
0,17,15,10
0,17,18,5
0,18,4,5
0,18,5,10
0,18,7,5
0,18,12,30
0,18,17,5
0,18,19,5
0,19,1,10
0,19,4,5
0,19,5,5
0,19,12,10
0,19,13,5
0,19,15,5
0,19,19,10
1,0,2,5
1,0,3,5
1,0,5,5
1,0,10,30
1,0,12,10
1,0,13,5
1,0,16,5
1,0,17,10
1,0,18,10
1,0,19,10
1,1,0,10
1,1,1,5
1,1,2,5
1,1,5,10
1,1,9,5
1,1,10,5
1,1,13,5
1,1,14,5
1,1,16,5
1,1,18,5
1,1,19,5
1,2,0,5
1,2,2,5
1,2,7,30
1,2,9,10
1,2,12,5
1,2,13,5
1,2,17,5
1,2,19,5
1,3,4,5
1,3,5,10
1,3,9,5
1,3,10,5
1,3,12,30
1,3,13,10
1,3,14,5
1,3,18,30
1,3,19,5
1,4,0,30
1,4,1,5
1,4,3,5
1,4,6,30
1,4,7,5
1,4,9,5
1,4,12,5
1,4,17,30
1,4,18,5
1,5,0,10
1,5,1,10
1,5,2,30
1,5,3,5
1,5,6,30
1,5,7,5
1,5,8,5
1,5,9,30
1,5,10,5
1,5,12,10
1,5,17,10
1,5,18,5
1,6,2,5
1,6,5,30
1,6,6,10
1,6,7,5
1,6,10,5
1,6,14,10
1,6,16,5
1,6,17,5
1,6,18,5
1,6,19,10
1,7,4,30
1,7,5,5
1,7,6,5
1,7,9,10
1,7,10,5
1,7,13,5
1,7,16,5
1,7,18,10
1,7,19,10
1,8,1,5
1,8,4,10
1,8,5,5
1,8,8,10
1,8,9,10
1,8,16,5
1,8,18,30
1,8,19,5
1,9,0,5
1,9,1,5
1,9,5,5
1,9,6,5
1,9,9,5
1,9,10,5
1,9,13,5
1,9,14,5
1,9,17,10
1,9,19,30
1,10,2,5
1,10,5,5
1,10,6,5
1,10,8,30
1,10,9,5
1,10,10,10
1,10,13,5
1,10,14,10
1,10,16,10
1,10,18,10
1,12,0,5
1,12,2,10
1,12,4,5
1,12,9,5
1,12,10,5
1,12,13,5
1,12,14,5
1,12,16,5
1,12,19,5
1,13,2,30
1,13,4,5
1,13,5,10
1,13,6,30
1,13,8,10
1,13,12,5
1,14,0,5
1,14,2,10
1,14,3,5
1,14,4,5
1,14,7,5
1,14,9,5
1,14,10,5
1,14,12,5
1,14,13,10
1,16,0,5
1,16,1,10
1,16,2,5
1,16,3,5
1,16,4,5
1,16,5,5
1,16,7,5
1,16,9,5
1,16,10,5
1,16,16,30
1,16,18,5
1,16,19,5
1,17,1,5
1,17,4,5
1,17,5,5
1,17,9,10
1,17,12,5
1,17,16,30
1,17,18,5
1,18,1,5
1,18,3,10
1,18,4,10
1,18,5,10
1,18,8,5
1,18,12,5
1,18,16,10
1,18,17,5
1,18,18,10
1,18,19,5
1,19,1,5
1,19,3,5
1,19,4,30
1,19,5,5
1,19,7,5
1,19,9,5
1,19,10,5
1,19,12,5
1,19,14,10
1,19,19,5
2,0,10,5
2,0,12,5
2,0,13,5
2,0,14,10
2,0,16,30
2,0,17,5
2,0,18,5
2,0,19,5
2,1,0,10
2,1,3,5
2,1,8,10
2,1,9,10
2,1,10,5
2,1,13,10
2,1,14,5
2,1,15,30
2,1,17,5
2,1,18,5
2,1,19,10
2,3,0,10
2,3,3,30
2,3,6,30
2,3,7,10
2,3,8,5
2,3,9,10
2,3,12,5
2,3,14,10
2,3,16,5
2,3,17,5
2,3,18,5
2,4,1,10
2,4,3,10
2,4,4,5
2,4,6,5
2,4,14,5
2,6,0,30
2,6,3,30
2,6,4,5
2,6,7,5
2,6,8,10
2,6,9,30
2,6,14,5
2,6,15,5
2,6,19,5
2,7,0,10
2,7,1,10
2,7,4,10
2,7,6,5
2,7,10,5
2,7,15,10
2,7,17,10
2,8,3,10
2,8,4,5
2,8,6,5
2,8,8,5
2,8,10,10
2,8,16,5
2,9,3,5
2,9,10,10
2,9,14,5
2,9,17,5
2,9,18,10
2,9,19,10
2,10,0,30
2,10,1,5
2,10,3,5
2,10,4,5
2,10,6,10
2,10,7,5
2,10,9,5
2,10,10,5
2,10,12,5
2,10,13,5
2,10,14,10
2,10,16,5
2,10,17,5
2,10,19,10
2,12,0,10
2,12,3,10
2,12,4,10
2,12,6,5
2,12,9,10
2,12,12,30
2,12,13,5
2,12,18,5
2,12,19,5
2,13,3,5
2,13,6,5
2,13,10,10
2,13,13,30
2,13,16,5
2,13,18,5
2,13,19,5
2,14,1,5
2,14,3,10
2,14,4,5
2,14,7,5
2,14,9,30
2,14,12,5
2,14,16,5
2,15,0,30
2,15,1,10
2,15,3,10
2,15,4,5
2,15,6,30
2,15,10,5
2,15,12,10
2,15,13,5
2,15,17,5
2,15,18,5
2,15,19,10
2,16,0,5
2,16,1,5
2,16,6,30
2,16,8,5
2,16,10,5
2,16,12,5
2,16,13,30
2,16,14,5
2,16,15,5
2,16,17,30
2,16,19,5
2,17,4,5
2,17,6,5
2,17,7,5
2,17,9,5
2,17,10,5
2,17,14,5
2,17,15,5
2,17,16,10
2,17,18,5
2,17,19,5
2,18,1,10
2,18,3,5
2,18,4,30
2,18,6,5
2,18,12,30
2,18,13,30
2,18,14,10
2,18,15,10
2,18,17,10
2,19,0,10
2,19,1,5
2,19,4,5
2,19,6,10
2,19,7,5
2,19,8,5
2,19,13,10
2,19,14,5
2,19,15,10
2,19,19,10
3,0,0,10
3,0,4,5
3,0,8,5
3,0,9,10
3,0,12,5
3,0,13,5
3,0,15,30
3,1,0,10
3,1,1,5
3,1,4,10
3,1,5,10
3,1,8,5
3,1,10,10
3,1,11,5
3,1,12,5
3,1,13,5
3,1,16,5
3,1,19,10
3,2,2,5
3,2,3,10
3,2,6,30
3,2,7,10
3,2,8,30
3,2,12,30
3,3,1,10
3,3,2,5
3,3,4,10
3,3,5,5
3,3,7,10
3,3,9,5
3,3,14,5
3,3,15,5
3,3,16,5
3,4,0,10
3,4,2,5
3,4,4,5
3,4,5,10
3,4,8,30
3,4,9,5
3,4,10,5
3,4,13,5
3,4,19,10
3,5,1,10
3,5,2,10
3,5,3,5
3,5,5,5
3,5,6,5
3,5,7,5
3,5,8,5
3,5,12,5
3,5,13,10
3,5,19,10
3,6,0,5
3,6,1,5
3,6,3,10
3,6,4,5
3,6,5,10
3,6,7,5
3,6,8,10
3,6,10,5
3,6,12,5
3,6,13,10
3,6,16,5
3,6,19,10
3,7,2,5
3,7,3,10
3,7,4,5
3,7,6,10
3,7,10,5
3,7,13,10
3,7,19,10
3,8,1,10
3,8,2,5
3,8,3,10
3,8,5,10
3,8,7,10
3,8,8,10
3,8,10,5
3,8,13,5
3,8,14,5
3,8,15,5
3,8,16,5
3,8,19,5
3,9,2,10
3,9,3,5
3,9,4,10
3,9,6,10
3,9,7,5
3,9,13,5
3,9,16,10
