id_job,release_date,due_date,earliness_penalty,tardiness_penalty,flow_time_penalty
0,81,346.2,0.51,0.51,0.051000000000000004
1,65,322.40000000000003,0.47,0.47,0.047
2,47,269.3,0.98,0.98,0.098
3,60,323.90000000000003,0.68,0.68,0.068
4,100,376.90000000000003,0.69,0.69,0.06899999999999999
5,6,259.5,0.37,0.37,0.037
6,16,256.5,0.82,0.82,0.082
7,11,307.40000000000003,0.22,0.22,0.022000000000000002
8,34,264.1,0.42,0.42,0.042
9,94,342.3,0.87,0.87,0.08700000000000001
10,87,302.8,0.48,0.48,0.048
11,93,311.4,0.61,0.61,0.061
12,17,275.7,0.64,0.64,0.064
13,96,310.5,0.87,0.87,0.08700000000000001
14,92,328.6,0.44,0.44,0.044000000000000004
15,29,294.2,0.76,0.76,0.07600000000000001
16,39,275.6,0.65,0.65,0.065
17,43,287.4,0.56,0.56,0.05600000000000001
18,25,294.1,0.39,0.39,0.03900000000000001
19,55,337.1,0.68,0.68,0.068
20,67,330.90000000000003,0.51,0.51,0.051000000000000004
21,46,317.7,0.26,0.26,0.026000000000000002
22,89,349.0,0.29,0.29,0.028999999999999998
23,25,286.3,0.89,0.89,0.08900000000000001
24,98,363.2,0.47,0.47,0.047
25,13,287.3,0.81,0.81,0.08100000000000002
26,58,319.3,0.59,0.59,0.059
27,29,273.4,0.45,0.45,0.045000000000000005
28,90,357.8,0.46,0.46,0.046000000000000006
29,89,337.3,0.32,0.32,0.032
30,38,311.0,0.72,0.72,0.072
31,19,262.1,0.29,0.29,0.028999999999999998
32,58,310.20000000000005,0.68,0.68,0.068
33,10,247.9,0.34,0.34,0.034
34,24,307.40000000000003,0.71,0.71,0.071
35,73,301.8,0.84,0.84,0.084
36,56,299.1,0.9,0.9,0.09000000000000001
37,57,296.20000000000005,0.27,0.14,0.027000000000000003
38,33,263.1,0.92,0.92,0.09200000000000001
39,34,282.3,0.75,0.75,0.07500000000000001
40,5,255.9,0.9,0.9,0.09000000000000001
41,20,304.7,0.36,0.36,0.036
42,89,358.1,0.66,0.66,0.066
43,43,321.2,0.35,0.35,0.034999999999999996
44,8,264.1,0.29,0.17,0.028999999999999998
45,71,346.6,0.48,0.48,0.048
46,41,314.0,0.49,0.49,0.049
47,55,305.9,0.52,0.52,0.052000000000000005
48,8,251.1,0.36,0.36,0.036
49,33,324.2,0.29,0.29,0.028999999999999998
